@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.3991,0.06918,0.88889,0.24457,0.29565,0.12946,0.55538,0.53639,0.90496,-1
0.54806,0.16881,0.05005,0.55745,0.33534,0.19321,0.8372,0.38412,0.38698,-1
0.53569,0.24576,0.48514,0.55477,0.45518,0.34586,0.30015,0.67633,0.88426,-1
0.39671,0.1299,0.22892,0.24716,0.33741,0.14319,0.71649,0.2646,0.06141,-1
0.19269,0.09408,0.87637,0.15329,0.23906,0.10531,0.70739,0.66853,0.13864,-1
0.24752,0.12816,0.06611,0.18506,0.35979,0.11317,0.87187,0.40142,0.17547,-1
0.1344,0.28201,0.42574,0.33594,0.49363,0.21428,0.17655,0.19752,0.44212,-1
0.80515,0.15429,0.04995,0.54484,0.319,0.23696,0.88251,0.0838,0.14491,-1
0.51984,0.1291,0.04992,0.45856,0.43042,0.14496,0.66555,0.50279,0.33321,-1
0.41726,0.26201,0.33866,0.49474,0.49664,0.45057,0.44447,0.79265,0.39335,-1
0.77506,0.09665,0.05004,0.63015,0.25469,0.17527,0.93451,0.20605,0.3388,-1
0.31117,0.10198,0.08188,0.31343,0.29318,0.10597,0.64435,0.61357,0.14663,-1
0.53915,0.06634,0.05153,0.54022,0.1998,0.16265,0.60988,0.29472,0.20445,-1
0.15571,0.07349,0.37805,0.49467,0.25775,0.14009,0.12361,0.31697,0.19971,-1
0.13491,0.12344,0.67341,0.11188,0.22227,0.15144,0.2643,0.11276,0.16292,-1
0.42192,0.07757,0.05022,0.24809,0.21434,0.11862,0.83412,0.32889,0.12618,-1
0.37082,0.14507,0.74157,0.32425,0.31917,0.20357,0.59063,0.35152,0.15546,-1
0.33774,0.35369,0.19778,0.53121,0.27573,0.28134,0.1666,0.49812,0.22893,-1
0.36422,0.05147,0.95015,0.19402,0.13698,0.08545,0.99798,0.53824,0.11851,-1
0.2677,0.07944,0.05497,0.36314,0.29037,0.08387,0.44872,0.62779,0.29957,-1
0.25916,0.07881,0.05642,0.19418,0.20453,0.08786,0.90366,0.47774,0.16121,-1
0.09644,0.10456,0.47952,0.36272,0.14766,0.12503,0.1127,0.36043,0.37239,-1
0.32113,0.10304,0.22542,0.51567,0.18451,0.1513,0.42448,0.51236,0.52909,-1
0.32465,0.06421,0.3785,0.42112,0.1583,0.11155,0.60933,0.37334,0.13217,-1
0.18918,0.12665,0.33354,0.34777,0.21434,0.14126,0.21385,0.4173,0.18325,-1
0.3011,0.14103,0.47696,0.27539,0.31099,0.19243,0.03557,0.41931,0.16488,-1
0.34463,0.43542,0.52608,0.45099,0.24325,0.43276,0.04206,0.57587,0.20797,-1
0.37605,0.13096,0.05799,0.34463,0.20441,0.13424,0.89489,0.3976,0.20832,-1
0.21994,0.15009,0.0512,0.12868,0.4418,0.11973,0.92825,0.26462,0.31029,-1
0.11592,0.09293,0.31573,0.26262,0.21484,0.11298,0.16372,0.3852,0.33944,-1
0.63405,0.0713,0.13461,0.3852,0.26151,0.15478,0.86963,0.56095,0.03344,-1
0.51932,0.08777,0.07528,0.30233,0.35239,0.13983,0.85518,0.50373,0.18134,-1
0.9604,0.39151,0.05008,0.66456,0.13531,0.37354,0.97726,0.60033,0.48831,-1
0.32889,0.07504,0.07247,0.21711,0.28723,0.0945,0.92528,0.58999,0.0711,-1
0.29505,0.24711,0.70959,0.217,0.33911,0.22076,0.52992,0.65069,0.18082,-1
0.12139,0.1669,0.15146,0.29922,0.41078,0.10595,0.36607,0.20724,0.63862,-1
0.73166,0.49548,0.56061,0.40809,0.5892,0.34001,0.26709,0.54904,0.48438,-1
0.88086,0.15506,0.09811,0.78203,0.33024,0.22631,0.56894,0.73913,0.19945,-1
0.44927,0.15663,0.05014,0.57456,0.25245,0.17787,0.8483,0.44478,0.21558,-1
0.1232,0.14909,0.78038,0.08798,0.11695,0.17903,0.11677,0.56566,0.16137,-1
0.20912,0.09141,0.05878,0.31411,0.1884,0.09152,0.57845,0.75268,0.0765,-1
0.26676,0.28323,0.04987,0.18571,0.42617,0.18506,0.9885,0.48168,0.51966,-1
0.2485,0.07055,0.93553,0.13967,0.26674,0.09522,0.77847,0.58982,0.24742,-1
0.49343,0.13287,0.17617,0.67731,0.21953,0.20539,0.54298,0.71563,0.45799,-1
0.15816,0.08093,0.87558,0.13631,0.2212,0.0939,0.45083,0.4089,0.22046,-1
0.50585,0.16958,0.35116,0.49038,0.30385,0.27271,0.15773,0.53955,0.15389,-1
0.21587,0.36181,0.22324,0.16013,0.53028,0.21533,0.91746,0.70539,0.312,-1
0.31412,0.20859,0.10122,0.34761,0.42903,0.16122,0.69405,0.31336,0.23303,-1
0.32424,0.07829,0.1488,0.32401,0.2867,0.10601,0.77693,0.31686,0.21914,-1
0.79415,0.31806,0.1286,0.79677,0.54264,0.40089,0.64552,0.41305,0.20251,-1
0.77978,0.18045,0.35999,0.50909,0.4151,0.26353,0.105,0.63589,0.48177,-1
0.46791,0.15095,0.15115,0.36664,0.3468,0.14896,0.84737,0.40132,0.09226,-1
0.34393,0.14717,0.15194,0.33843,0.34281,0.17364,0.52889,0.15757,0.14438,-1
0.21768,0.15783,0.45753,0.47617,0.36176,0.15429,0.02613,0.37567,0.2086,-1
0.20909,0.09597,0.92402,0.13481,0.29056,0.09544,0.714,0.21992,0.36113,-1
0.22368,0.04593,0.9424,0.16786,0.12037,0.12164,0.48806,0.61778,0.49923,-1
0.43324,0.41643,0.04999,0.27768,0.60964,0.31616,0.98183,0.50922,0.24047,-1
0.36939,0.13401,0.0792,0.3007,0.22794,0.17086,0.87889,0.85185,0.02423,-1
0.08336,0.1528,0.91613,0.0632,0.28832,0.15164,0.18679,0.13344,0.12032,-1
0.29087,0.23198,0.0499,0.18828,0.48951,0.15816,0.96496,0.44319,0.29768,-1
0.18537,0.1879,0.05222,0.2034,0.36309,0.12862,0.2805,0.45282,0.47908,-1
0.51976,0.0263,0.6405,0.33235,0.10479,0.10327,0.90888,0.58854,0.16736,-1
0.26548,0.07681,0.40272,0.23857,0.13607,0.09013,0.9626,0.56955,0.32051,-1
0.25091,0.10216,0.42032,0.30461,0.23777,0.17371,0.35662,0.22629,0.16271,-1
0.25468,0.09247,0.32682,0.22008,0.27379,0.09885,0.83725,0.14171,0.12953,-1
0.63024,0.1384,0.29922,0.51141,0.1732,0.18202,0.86933,0.44064,0.11765,-1
0.26386,0.16956,0.89975,0.18056,0.16671,0.21455,0.30392,0.45313,0.59332,-1
0.47075,0.31847,0.06077,0.32043,0.49347,0.24952,0.79537,0.47163,0.20369,-1
0.2053,0.11653,0.05066,0.39076,0.20098,0.11715,0.38837,0.47242,0.12212,-1
0.27886,0.15033,0.61077,0.26757,0.19598,0.22072,0.33537,0.08242,0.19654,-1
0.35258,0.17273,0.43318,0.37246,0.34611,0.18935,0.17403,0.5094,0.24703,-1
0.4227,0.30378,0.81493,0.27049,0.48127,0.24761,0.51078,0.2699,0.44277,-1
0.17898,0.31805,0.38872,0.17658,0.48269,0.18443,0.27052,0.33427,0.32948,-1
0.60603,0.0751,0.0564,0.46811,0.27736,0.13255,0.90642,0.21711,0.31724,-1
0.32923,0.12187,0.04999,0.17448,0.40061,0.15446,0.91829,0.69579,0.17539,-1
1.0215,0.13812,0.07873,0.63112,0.43094,0.26915,0.83788,0.55589,0.30712,-1
0.28848,0.07934,0.05197,0.1635,0.29456,0.09644,0.95385,0.40639,0.07932,-1
0.93799,0.1525,0.06694,0.71957,0.40991,0.25411,0.76629,0.52549,0.4321,-1
0.31506,0.12602,0.14638,0.19678,0.31304,0.13212,0.76277,0.27299,0.21989,-1
0.39427,0.0669,0.14646,0.49903,0.21904,0.1331,0.42108,0.50739,0.16452,-1
