@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.09844,0.87454,0.5203,0.19008,0.60718,0.29007,0.21279,0.28254,0.33231,-1
0.1797,0.68282,0.74688,0.12111,0.64799,0.4412,0.19551,0.43452,0.29308,-1
0.24732,0.47266,0.42576,0.23559,0.6384,0.36702,0.29835,0.58201,0.20255,-1
0.27,0.89099,0.64891,0.22694,0.40277,0.72746,0.06884,0.21296,0.10175,-1
0.29608,0.68972,0.04996,0.30564,0.67161,0.31692,0.96178,0.37312,0.26962,-1
0.12708,1.5314,0.73038,0.23474,0.74261,0.45283,0.26651,0.08204,0.44798,-1
0.2028,0.16103,0.15951,0.26903,0.41023,0.15563,0.19548,0.325,0.18586,-1
0.10088,0.24021,0.45261,0.14753,0.49298,0.1705,0.04605,0.3898,0.10937,-1
0.13638,0.72653,0.50991,0.153,0.60273,0.3122,0.07568,0.15479,0.41425,-1
0.17564,0.26423,0.5171,0.22226,0.39755,0.27458,0.0248,0.48078,0.10156,-1
0.16843,0.55579,0.61247,0.15734,0.58733,0.43147,0.15032,0.71625,0.0712,-1
0.14423,0.39817,0.46977,0.20839,0.37557,0.33036,0.06755,0.24923,0.10155,-1
0.25637,0.64668,0.57735,0.16973,0.7113,0.33501,0.24293,0.21528,0.0627,-1
0.25538,0.57181,0.53303,0.18562,0.60225,0.34412,0.05869,0.19646,0.40386,-1
0.16768,0.79043,0.44235,0.30146,0.57157,0.28078,0.44538,0.08024,0.09464,-1
0.19414,0.32536,0.83971,0.13814,0.3242,0.33089,0.20189,0.38363,0.16818,-1
0.1472,0.7281,0.47032,0.35283,0.46205,0.33066,0.25019,0.54919,0.2361,-1
0.37128,0.58792,0.50716,0.26198,0.48119,0.32683,0.01377,0.40987,0.70685,-1
0.31871,0.32387,0.05033,0.25982,0.56148,0.19411,0.96594,0.21423,0.08989,-1
0.31949,0.287,0.47446,0.3088,0.39858,0.2268,0.4255,0.27535,0.15886,-1
0.09074,0.19204,0.30415,0.22238,0.38255,0.21163,0.13902,0.69325,0.14922,-1
0.08269,0.36988,0.56723,0.16313,0.3876,0.27225,0.08746,0.28921,0.08017,-1
0.22199,0.46657,0.62159,0.21255,0.51356,0.2603,0.60274,0.64919,0.06158,-1
0.12044,0.11715,0.40405,0.23147,0.32635,0.19707,0.11155,0.77436,0.10598,-1
0.06409,0.97634,0.47014,0.23375,0.74975,0.39672,0.07956,0.12969,0.15715,-1
0.13328,0.28595,0.57343,0.26914,0.24663,0.23399,0.22531,0.29022,0.24981,-1
0.12414,0.12573,0.17561,0.21173,0.32163,0.10946,0.3141,0.18631,0.25463,-1
0.1473,0.20061,0.46651,0.19565,0.36989,0.24607,0.1286,0.49952,0.22835,-1
0.16575,0.76081,0.14596,0.34066,0.54553,0.31024,0.35348,0.38785,0.32375,-1
0.12437,0.43993,0.70602,0.1208,0.54038,0.37886,0.18769,0.78185,0.06824,-1
0.2561,0.328,0.77402,0.19426,0.43756,0.26803,0.39285,0.12847,0.19147,-1
0.10264,0.67946,0.33602,0.28269,0.66086,0.27093,0.22635,0.14402,0.27207,-1
0.11847,0.2341,0.05168,0.34843,0.44667,0.18401,0.2471,0.30313,0.60818,-1
0.15764,0.32069,0.47732,0.35749,0.4721,0.25849,0.13048,0.20739,0.18974,-1
0.20407,0.96712,0.22947,0.19925,0.58948,0.40666,0.35604,0.32852,0.08429,-1
0.14333,0.17702,0.47058,0.24807,0.33944,0.24466,0.13886,0.22569,0.17265,-1
0.12912,0.14771,0.13224,0.25283,0.29038,0.13068,0.21813,0.22423,0.20298,-1
0.30897,0.33971,0.79936,0.25473,0.37035,0.27881,0.25165,0.40508,0.35432,-1
0.21314,0.30525,0.57851,0.20164,0.47335,0.23278,0.37363,0.27475,0.35794,-1
0.24817,0.22499,0.47496,0.49018,0.27721,0.37194,0.03536,0.19695,0.10874,-1
0.22274,0.3245,0.6869,0.23996,0.45875,0.20269,0.29504,0.37998,0.22242,-1
0.19449,0.29363,0.34355,0.16634,0.32219,0.18949,0.15771,0.44256,0.21634,-1
0.23363,0.11683,0.62116,0.22386,0.30573,0.19098,0.35371,0.51242,0.0801,-1
0.13884,0.32766,0.53548,0.28846,0.46536,0.22846,0.26783,0.05645,0.21428,-1
0.08848,0.49667,0.56784,0.16635,0.45548,0.37104,0.10849,0.46579,0.14256,-1
0.42894,0.53506,0.6555,0.26284,0.61487,0.32308,0.68182,0.09264,0.10866,-1
0.26512,0.09487,0.68306,0.19735,0.29038,0.16318,0.35584,0.11647,0.39663,-1
0.0831,0.17811,0.51912,0.2096,0.33482,0.17416,0.06784,0.14791,0.52323,-1
0.09764,0.54335,0.51038,0.10675,0.50546,0.32669,0.02235,0.38691,0.48265,-1
0.26254,0.77996,0.9253,0.13628,0.70289,0.43424,0.36673,0.17868,0.13558,-1
0.05594,0.94234,0.6727,0.18333,0.521,0.53545,0.11407,0.67398,0.40852,-1
0.24706,0.37324,0.04986,0.34794,0.53683,0.23428,0.3438,0.1892,0.40079,-1
0.23511,0.60202,0.81617,0.18908,0.52779,0.41785,0.39919,0.69,0.48829,-1
0.19609,0.72899,0.66784,0.12662,0.71435,0.42495,0.19656,0.37159,0.63483,-1
0.06012,0.51134,0.26062,0.29222,0.5823,0.25766,0.17412,0.64045,0.06609,-1
0.2428,0.56749,0.27514,0.29564,0.61735,0.26683,0.46978,0.23914,0.34938,-1
0.1817,0.53275,0.66628,0.16342,0.6344,0.33929,0.36677,0.66563,0.15315,-1
0.08115,0.67544,0.92044,0.04875,0.70243,0.3977,0.04213,0.14917,0.58633,-1
0.13479,1.03939,0.94809,0.09012,0.72458,0.47107,0.28634,0.60033,0.25335,-1
